county_fips,year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,version,mode,inctot,mortamt1,avrg_age,ftotinc,foodstmp_1_freq,foodstmp_2_freq,sex_2_freq,sex_1_freq,marst_5_freq,marst_6_freq,marst_1_freq,marst_4_freq,marst_3_freq,marst_2_freq,race_1_freq,race_2_freq,race_7_freq,race_8_freq,race_5_freq,race_6_freq,race_3_freq,race_4_freq,race_9_freq,ctz_stat_1_freq,ctz_stat_3_freq,ctz_stat_2_freq,lang_1_freq,lang_2_freq,educ_attain_2.0_freq,educ_attain_1.0_freq,educ_attain_3.0_freq,educ_attain_4.0_freq,empstat_1.0_freq,empstat_3.0_freq,empstat_2.0_freq
10001,2020,DELAWARE,DE,KENT,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1044,87025,20220315,TOTAL,24461.9,749.9,47.8,50964.2,84.4,15.6,52.8,47.2,7.7,29.4,44.5,14.1,1.6,2.6,64.7,23,1.7,6.5,0.3,1.5,2.3,0,0.1,94.5,1.8,3.6,92,8,44.8,45.4,8.9,0.9,53.7,42.9,3.5
10003,2008,DELAWARE,DE,NEW CASTLE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,178768,256417,20220315,TOTAL,33996.2,976.7,45.7,67622.1,94.9,5.1,52.5,47.5,6.8,25.6,53.1,12,1,1.5,77.1,17.2,1,0.7,0.1,2.9,0.1,0.8,0.2,89.8,5.6,4.6,88.8,11.2,47.9,39.8,10.5,1.7,63.8,32.2,4
10003,2008,DELAWARE,DE,NEW CASTLE,US PRESIDENT,OTHER,OTHER,3041,256417,20220315,TOTAL,33996.2,976.7,45.7,67622.1,94.9,5.1,52.5,47.5,6.8,25.6,53.1,12,1,1.5,77.1,17.2,1,0.7,0.1,2.9,0.1,0.8,0.2,89.8,5.6,4.6,88.8,11.2,47.9,39.8,10.5,1.7,63.8,32.2,4
10003,2008,DELAWARE,DE,NEW CASTLE,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,74608,256417,20220315,TOTAL,33996.2,976.7,45.7,67622.1,94.9,5.1,52.5,47.5,6.8,25.6,53.1,12,1,1.5,77.1,17.2,1,0.7,0.1,2.9,0.1,0.8,0.2,89.8,5.6,4.6,88.8,11.2,47.9,39.8,10.5,1.7,63.8,32.2,4
10003,2012,DELAWARE,DE,NEW CASTLE,US PRESIDENT,OTHER,OTHER,3700,252012,20220315,TOTAL,29473.1,933.2,46,59628.2,87.2,12.8,53.2,46.8,6.3,30.1,49,11.1,1.7,1.8,73.3,19.3,1.7,1.2,0.1,3.2,0.1,1,0.2,89.7,4.7,5.6,87.1,12.9,48.6,39,10,2.4,58.8,36.3,4.9
10003,2012,DELAWARE,DE,NEW CASTLE,US PRESIDENT,BARACK OBAMA,DEMOCRAT,167082,252012,20220315,TOTAL,29473.1,933.2,46,59628.2,87.2,12.8,53.2,46.8,6.3,30.1,49,11.1,1.7,1.8,73.3,19.3,1.7,1.2,0.1,3.2,0.1,1,0.2,89.7,4.7,5.6,87.1,12.9,48.6,39,10,2.4,58.8,36.3,4.9
10003,2012,DELAWARE,DE,NEW CASTLE,US PRESIDENT,MITT ROMNEY,REPUBLICAN,81230,252012,20220315,TOTAL,29473.1,933.2,46,59628.2,87.2,12.8,53.2,46.8,6.3,30.1,49,11.1,1.7,1.8,73.3,19.3,1.7,1.2,0.1,3.2,0.1,1,0.2,89.7,4.7,5.6,87.1,12.9,48.6,39,10,2.4,58.8,36.3,4.9
10003,2016,DELAWARE,DE,NEW CASTLE,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,162919,262391,20220315,TOTAL,31486.5,895.5,47,64217.9,90.3,9.7,52.7,47.3,6.1,30.3,49.1,11.1,1.4,2,73.7,18.4,1.2,1.6,0,2.8,0.3,1.8,0.1,88.4,5.7,5.9,87.6,12.4,47.4,38.1,12,2.4,60.3,36.2,3.5
10003,2016,DELAWARE,DE,NEW CASTLE,US PRESIDENT,OTHER,OTHER,13947,262391,20220315,TOTAL,31486.5,895.5,47,64217.9,90.3,9.7,52.7,47.3,6.1,30.3,49.1,11.1,1.4,2,73.7,18.4,1.2,1.6,0,2.8,0.3,1.8,0.1,88.4,5.7,5.9,87.6,12.4,47.4,38.1,12,2.4,60.3,36.2,3.5
10003,2016,DELAWARE,DE,NEW CASTLE,US PRESIDENT,DONALD TRUMP,REPUBLICAN,85525,262391,20220315,TOTAL,31486.5,895.5,47,64217.9,90.3,9.7,52.7,47.3,6.1,30.3,49.1,11.1,1.4,2,73.7,18.4,1.2,1.6,0,2.8,0.3,1.8,0.1,88.4,5.7,5.9,87.6,12.4,47.4,38.1,12,2.4,60.3,36.2,3.5
10003,2020,DELAWARE,DE,NEW CASTLE,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,195034,287633,20220315,TOTAL,33935.4,945.2,48.3,65071.7,91.3,8.7,50.9,49.1,5.4,31.7,48.6,10.8,1.3,2.2,67.7,17.7,5,4.3,0.1,3.4,0.2,1.4,0.2,89.2,4.4,6.3,86.5,13.5,48.8,34.4,14,2.8,59.3,37.5,3.2
10003,2020,DELAWARE,DE,NEW CASTLE,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,2953,287633,20220315,TOTAL,33935.4,945.2,48.3,65071.7,91.3,8.7,50.9,49.1,5.4,31.7,48.6,10.8,1.3,2.2,67.7,17.7,5,4.3,0.1,3.4,0.2,1.4,0.2,89.2,4.4,6.3,86.5,13.5,48.8,34.4,14,2.8,59.3,37.5,3.2
10003,2020,DELAWARE,DE,NEW CASTLE,US PRESIDENT,OTHER,GREEN,1282,287633,20220315,TOTAL,33935.4,945.2,48.3,65071.7,91.3,8.7,50.9,49.1,5.4,31.7,48.6,10.8,1.3,2.2,67.7,17.7,5,4.3,0.1,3.4,0.2,1.4,0.2,89.2,4.4,6.3,86.5,13.5,48.8,34.4,14,2.8,59.3,37.5,3.2
10003,2020,DELAWARE,DE,NEW CASTLE,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,88364,287633,20220315,TOTAL,33935.4,945.2,48.3,65071.7,91.3,8.7,50.9,49.1,5.4,31.7,48.6,10.8,1.3,2.2,67.7,17.7,5,4.3,0.1,3.4,0.2,1.4,0.2,89.2,4.4,6.3,86.5,13.5,48.8,34.4,14,2.8,59.3,37.5,3.2
10005,2008,DELAWARE,DE,SUSSEX,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,47939,89070,20220315,TOTAL,28106.9,880.5,49.9,54217.2,92.5,7.5,52.8,47.2,9.3,19.9,56.9,10.5,2,1.5,86.6,8.4,2.3,0.7,0.1,1,0.6,0,0.2,94.2,3.3,2.5,93.2,6.8,39.2,51.4,8.6,0.8,49.3,47.2,3.5
10005,2008,DELAWARE,DE,SUSSEX,US PRESIDENT,BARACK OBAMA,DEMOCRAT,40299,89070,20220315,TOTAL,28106.9,880.5,49.9,54217.2,92.5,7.5,52.8,47.2,9.3,19.9,56.9,10.5,2,1.5,86.6,8.4,2.3,0.7,0.1,1,0.6,0,0.2,94.2,3.3,2.5,93.2,6.8,39.2,51.4,8.6,0.8,49.3,47.2,3.5
10005,2008,DELAWARE,DE,SUSSEX,US PRESIDENT,OTHER,OTHER,832,89070,20220315,TOTAL,28106.9,880.5,49.9,54217.2,92.5,7.5,52.8,47.2,9.3,19.9,56.9,10.5,2,1.5,86.6,8.4,2.3,0.7,0.1,1,0.6,0,0.2,94.2,3.3,2.5,93.2,6.8,39.2,51.4,8.6,0.8,49.3,47.2,3.5
10005,2012,DELAWARE,DE,SUSSEX,US PRESIDENT,OTHER,OTHER,1135,93229,20220315,TOTAL,27299.1,767.4,52,50748,84.9,15.1,52.9,47.1,9.7,16.9,56.9,13,1.7,1.8,85.5,9.9,1.5,1,0.1,1.1,0.6,0.2,0.2,94.8,2.5,2.6,92.9,7.1,41.5,47.1,10.1,1.4,51.5,44.6,3.9
10005,2012,DELAWARE,DE,SUSSEX,US PRESIDENT,BARACK OBAMA,DEMOCRAT,39975,93229,20220315,TOTAL,27299.1,767.4,52,50748,84.9,15.1,52.9,47.1,9.7,16.9,56.9,13,1.7,1.8,85.5,9.9,1.5,1,0.1,1.1,0.6,0.2,0.2,94.8,2.5,2.6,92.9,7.1,41.5,47.1,10.1,1.4,51.5,44.6,3.9
10005,2012,DELAWARE,DE,SUSSEX,US PRESIDENT,MITT ROMNEY,REPUBLICAN,52119,93229,20220315,TOTAL,27299.1,767.4,52,50748,84.9,15.1,52.9,47.1,9.7,16.9,56.9,13,1.7,1.8,85.5,9.9,1.5,1,0.1,1.1,0.6,0.2,0.2,94.8,2.5,2.6,92.9,7.1,41.5,47.1,10.1,1.4,51.5,44.6,3.9
10005,2016,DELAWARE,DE,SUSSEX,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,39333,106008,20220315,TOTAL,32523.4,824.4,53.3,62692.1,90.8,9.2,52.4,47.6,7.6,17.5,59.9,11.5,2,1.7,86.9,8.8,0.9,1.1,0,1.2,0.6,0.4,0.1,94.2,2.8,3,93.4,6.6,45.9,40.3,12,1.8,48.5,49.7,1.8
10005,2016,DELAWARE,DE,SUSSEX,US PRESIDENT,DONALD TRUMP,REPUBLICAN,62611,106008,20220315,TOTAL,32523.4,824.4,53.3,62692.1,90.8,9.2,52.4,47.6,7.6,17.5,59.9,11.5,2,1.7,86.9,8.8,0.9,1.1,0,1.2,0.6,0.4,0.1,94.2,2.8,3,93.4,6.6,45.9,40.3,12,1.8,48.5,49.7,1.8
